Codigo DANE;Id Municipio;Municipio;Departamento;Formulario;Id Formulario;No. Renglon;Id No. Renglon;Descripcion;Periodicidad;Id Periodicidad;Tipo Tarifa;Id Tipo Tarifa;Valor Tarifa;Estado;Id Estado;Para calcular;Id Para calcular;Numero Renglon 1;Id Numero Renglon 1;Tipo Operacion1;Id Tipo Operacion1;Numero Renglon 2;Id Numero Renglon 2;Tipo Operacion2;Id Tipo Operacion2;Numero Renglon 3;Id Numero Renglon 3;Tipo Operacion3;Id Tipo Operacion3;Numero Renglon 4;Id Numero Renglon 4;Tipo Operacion4;Id Tipo Operacion4;Numero Renglon 5;Id Numero Renglon 5;Tipo Operacion5;Id Tipo Operacion5;Numero Renglon 6;Id Numero Renglon 6;Tipo Operacion;Id Tipo Operacion;Anio Gravable
25430;604;MADRID;CUNDINAMARCA;IMPUESTO DE ICA;1;21;12;IMPUESTO DE AVISOS Y TABLEROS (15% DEL RENGLON 20);ANUAL;8;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25430;604;MADRID;CUNDINAMARCA;IMPUESTO DE ICA;1;23;14;SOBRETASA BOMBERIL (Ley 1575 de 2012) (Si la hay, liquidela segun el Acuerdo Municpal o Distrital);ANUAL;8;PORCENTUAL;1;3.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25430;604;MADRID;CUNDINAMARCA;IMPUESTO DE ICA;1;24;15;SOBRETASA DE SEGURIDAD (Ley 1421 DE 2011) ( Si la hay, liquidela segun el Acuerdo Municipal o Distrital);ANUAL;8;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2022
25473;605;MOSQUERA;CUNDINAMARCA;IMPUESTO DE ICA;1;21;12;IMPUESTO DE AVISOS Y TABLEROS (15% DEL RENGLON 20);ANUAL;8;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25473;605;MOSQUERA;CUNDINAMARCA;IMPUESTO DE ICA;1;23;14;SOBRETASA BOMBERIL (Ley 1575 de 2012) (Si la hay, liquidela segun el Acuerdo Municpal o Distrital);ANUAL;8;PORCENTUAL;1;1.50;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25473;605;MOSQUERA;CUNDINAMARCA;IMPUESTO DE ICA;1;24;15;SOBRETASA DE SEGURIDAD (Ley 1421 DE 2011) ( Si la hay, liquidela segun el Acuerdo Municipal o Distrital);ANUAL;8;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2022
25488;537;NILO;CUNDINAMARCA;IMPUESTO DE ICA;1;21;12;IMPUESTO DE AVISOS Y TABLEROS (15% DEL RENGLON 20);ANUAL;8;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25488;537;NILO;CUNDINAMARCA;IMPUESTO DE ICA;1;23;14;SOBRETASA BOMBERIL (Ley 1575 de 2012) (Si la hay, liquidela segun el Acuerdo Municpal o Distrital);ANUAL;8;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2022
25488;537;NILO;CUNDINAMARCA;IMPUESTO DE ICA;1;24;15;SOBRETASA DE SEGURIDAD (Ley 1421 DE 2011) ( Si la hay, liquidela segun el Acuerdo Municipal o Distrital);ANUAL;8;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2022
25513;584;PACHO;CUNDINAMARCA;IMPUESTO DE ICA;1;21;12;IMPUESTO DE AVISOS Y TABLEROS (15% DEL RENGLON 20);ANUAL;8;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25513;584;PACHO;CUNDINAMARCA;IMPUESTO DE ICA;1;23;14;SOBRETASA BOMBERIL (Ley 1575 de 2012) (Si la hay, liquidela segun el Acuerdo Municpal o Distrital);ANUAL;8;PORCENTUAL;1;3.50;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
25513;584;PACHO;CUNDINAMARCA;IMPUESTO DE ICA;1;24;15;SOBRETASA DE SEGURIDAD (Ley 1421 DE 2011) ( Si la hay, liquidela segun el Acuerdo Municipal o Distrital);ANUAL;8;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2022
25645;628;SAN ANTONIO DEL TEQUENDAMA;CUNDINAMARCA;IMPUESTO DE ICA;1;21;12;IMPUESTO DE AVISOS Y TABLEROS (15% DEL RENGLON 20);ANUAL;8;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;11;;;;;;;;;;;;;;;;;;;;;;;2022
