Codigo DANE;Id Municipio;Municipio;Departamento;Formulario;Id Formulario;No. Renglon;Id No. Renglon;Descripcion;Periodicidad;Id Periodicidad;Tipo Tarifa;Id Tipo Tarifa;Valor Tarifa;Estado;Id Estado;Para calcular;Id Para calcular;Numero Renglon 1;Id Numero Renglon 1;Tipo Operacion1;Id Tipo Operacion1;Numero Renglon 2;Id Numero Renglon 2;Tipo Operacion2;Id Tipo Operacion2;Numero Renglon 3;Id Numero Renglon 3;Tipo Operacion3;Id Tipo Operacion3;Numero Renglon 4;Id Numero Renglon 4;Tipo Operacion4;Id Tipo Operacion4;Numero Renglon 5;Id Numero Renglon 5;Tipo Operacion5;Id Tipo Operacion5;Numero Renglon 6;Id Numero Renglon 6;Tipo Operacion;Id Tipo Operacion;Anio Gravable
5001;135;MEDELLIN;ANTIOQUIA;AUTO RETENCION ICA;2;21;42;TOTAL AUTORRETENCION DE AVISOS Y TABLEROS (15% DEL RENGLON 20);BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5001;135;MEDELLIN;ANTIOQUIA;AUTO RETENCION ICA;2;23;44;TOTAL AUTORRETENCIONES SOBRETASA BOMBERIL;BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5001;135;MEDELLIN;ANTIOQUIA;AUTO RETENCION ICA;2;24;45;TOTAL AUTORRETENCIONES SOBRETASA  SEGURIDAD;BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5002;69;ABEJORRAL;ANTIOQUIA;AUTO RETENCION ICA;2;21;42;TOTAL AUTORRETENCION DE AVISOS Y TABLEROS (15% DEL RENGLON 20);MENSUAL;1;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;41;;;;;;;;;;;;;;;;;;;;;;;2023
5002;69;ABEJORRAL;ANTIOQUIA;AUTO RETENCION ICA;2;23;44;TOTAL AUTORRETENCIONES SOBRETASA BOMBERIL;MENSUAL;1;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5002;69;ABEJORRAL;ANTIOQUIA;AUTO RETENCION ICA;2;24;45;TOTAL AUTORRETENCIONES SOBRETASA  SEGURIDAD;MENSUAL;1;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5030;92;AMAGA;ANTIOQUIA;AUTO RETENCION ICA;2;21;42;TOTAL AUTORRETENCION DE AVISOS Y TABLEROS (15% DEL RENGLON 20);BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5030;92;AMAGA;ANTIOQUIA;AUTO RETENCION ICA;2;23;44;TOTAL AUTORRETENCIONES SOBRETASA BOMBERIL;BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5030;92;AMAGA;ANTIOQUIA;AUTO RETENCION ICA;2;24;45;TOTAL AUTORRETENCIONES SOBRETASA  SEGURIDAD;BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
5034;93;ANDES;ANTIOQUIA;AUTO RETENCION ICA;2;21;42;TOTAL AUTORRETENCION DE AVISOS Y TABLEROS (15% DEL RENGLON 20);BIMESTRAL;3;PORCENTUAL;1;15.00;ACTIVO;1;SI;S;20;41;;;;;;;;;;;;;;;;;;;;;;;2023
5034;93;ANDES;ANTIOQUIA;AUTO RETENCION ICA;2;23;44;TOTAL AUTORRETENCIONES SOBRETASA BOMBERIL;BIMESTRAL;3;NO APLICA;6;0.00;ACTIVO;1;NO;N;;;;;;;;;;;;;;;;;;;;;;;;;2023
