CODIGO_OFICINA;IDCLIENTE_ESTABLECIMIENTO;CODIGO DANE;ID_MUNICIPIO;NOMBRE_OFICINA;NOMBRE MUNICIPIO;IDMUN_ACT_ECONOMICA;ID_PUC;CODIGO CUENTA;IDTIPO_CALCULO;Tipo de Calculo (Ley/Municipal);ESTADO;ID_ESTADO
5216;2;11001;169;DEPARTAMENTO DE APRENDIZAJE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
8116;3;11001;169;GERENCIA REGIONAL CORPORATIVA BOGOTA I;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
44;4;11001;169;OFICINA ALMIRANTE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
50;5;11001;169;OFICINA AV CHILE;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
74;6;11001;169;OFICINA AVENIDA JIMENEZ;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
83;7;11001;169;OFICINA BARRIO RESTREPO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
16;8;11001;169;OFICINA CAN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
92;9;11001;169;OFICINA CALLE 19;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
68;10;11001;169;OFICINA CARRERA DECIMA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
59;11;11001;169;OFICINA CEDRITOS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
24;12;11001;169;OFICINA CENCOSUD METRO ALQUERIA ANTES SUR Y CENTRO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
61;13;11001;169;OFICINA CHAPINERO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
41;14;25175;591;OFICINA CHIA;CHIA;64;2;4102020015;2;MUNICIPIO;ACTIVO;1
62;15;11001;169;OFICINA CHICO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
55;16;11001;169;OFICINA CHICO RESERVADO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
90;17;11001;169;OFICINA CIUDAD MONTES;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
87;18;11001;169;OFICINA CONTADOR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
13;19;11001;169;OFICINA CORABASTOS;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
96;20;11001;169;OFICINA DORADO PLAZA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
28;21;11001;169;OFICINA EL ESPECTADOR;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
69;22;11001;169;OFICINA EL LAGO;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
80;23;11001;169;OFICINA FATIMA VENECIA;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
73;24;11001;169;OFICINA FONTIBON;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
9;25;11001;169;OFICINA GAITAN;BOGOTA DC;270;2;4102020015;2;MUNICIPIO;ACTIVO;1
