Codigo DANE;Id Municipio;Municipio;Departamento;Formulario;Id Formulario;Unidad de Medida;Id Unidad de medida;Anio Gravable;Id Unidad de medida BaseG;Anio Fiscal;Id Unidad de medida AnioFiscal;Tipo Tarifa;Id Tipo Tarifa;Valor Unidad;Porcentaje_Cantidad Unidad;Cantidad Periodos;Estado;Id Estado;No. Renglon del Form;Id No. Renglon;Descripcion de la Configuracion;Para calcular;Id Para calcular;Numero Renglon 1;Id Numero Renglon 1;Tipo Operacion1;Id Tipo Operacion1;Numero Renglon 2;Id Numero Renglon 2;Tipo Operacion2;Id Tipo Operacion2;Numero Renglon 3;Id Numero Renglon 3;Tipo Operacion3;Id Tipo Operacion3;Numero Renglon 4;Id Numero Renglon 4;Tipo Operacion4;Id Tipo Operacion4;Numero Renglon 5;Id Numero Renglon 5;Tipo Operacion5;Id Tipo Operacion5;Numero Renglon 6;Id Numero Renglon 6
5001;135;MEDELLIN;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;POR UNIDAD;8;0;1,00;0,00;ACTIVO;1;20;11;TOTAL IMPUESTO DE INDUSTRIA Y COMERCIO (RENGLON 17 + 19);SI;S;17;69;+;1;19;70;;;;;;;;;;;;;;;;
5001;135;MEDELLIN;ANTIOQUIA;IMPUESTO DE ICA;1;UVT;1;2022;16;2023;28;POR UNIDAD;8;0;27,80;1,00;ACTIVO;1;22;13;PAGO POR UNIDADES COMERCIALES ADICIONALES DEL SECTOR FINANCIERO;NO;N;;;;;;;;;;;;;;;;;;;;;;
5001;135;MEDELLIN;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;NO APLICA;6;0;0,00;0,00;ACTIVO;1;30;21;ANTICIPO DEL ANO SIGUIENTE (SI EXISTE, LIQUIDE PORCENTAJE SEGUN ACUERDO MUNICIPAL O DISTRITAL);NO;N;;;;;;;;;;;;;;;;;;;;;;
5001;135;MEDELLIN;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;NO APLICA;6;0;0,00;0,00;ACTIVO;1;36;26;DESCUENTO POR PRONTO PAGO (SI EXISTE, LIQUIDELO SEGUN EL ACUERDO MUNICIPAL O DISTRITAL);NO;N;;;;;;;;;;;;;;;;;;;;;;
5002;69;ABEJORRAL;ANTIOQUIA;IMPUESTO DE ICA;1;UVT;1;2022;16;2023;28;POR UNIDAD;8;0;1,00;12,00;ACTIVO;1;20;11;TOTAL IMPUESTO DE INDUSTRIA Y COMERCIO (RENGLON 17 + 19);SI;S;17;69;+;1;19;70;;;;;;;;;;;;;;;;
5002;69;ABEJORRAL;ANTIOQUIA;IMPUESTO DE ICA;1;UVT;1;2022;16;2023;28;POR UNIDAD;8;0;28,00;1,00;ACTIVO;1;22;13;PAGO POR UNIDADES COMERCIALES ADICIONALES DEL SECTOR FINANCIERO;NO;N;;;;;;;;;;;;;;;;;;;;;;
5002;69;ABEJORRAL;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;NO APLICA;6;0;0,00;0,00;ACTIVO;1;30;21;ANTICIPO DEL ANO SIGUIENTE (SI EXISTE, LIQUIDE PORCENTAJE SEGUN ACUERDO MUNICIPAL O DISTRITAL);NO;N;;;;;;;;;;;;;;;;;;;;;;
5002;69;ABEJORRAL;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;NO APLICA;6;0;0,00;0,00;ACTIVO;1;36;26;DESCUENTO POR PRONTO PAGO (SI EXISTE, LIQUIDELO SEGUN EL ACUERDO MUNICIPAL O DISTRITAL);NO;N;;;;;;;;;;;;;;;;;;;;;;
5030;92;AMAGA;ANTIOQUIA;IMPUESTO DE ICA;1;NAP;5;2022;16;2023;28;POR UNIDAD;8;0;1,00;0,00;ACTIVO;1;20;11;TOTAL IMPUESTO DE INDUSTRIA Y COMERCIO (RENGLON 17 + 19);SI;S;17;69;+;1;19;70;;;;;;;;;;;;;;;;
5030;92;AMAGA;ANTIOQUIA;IMPUESTO DE ICA;1;VABS;4;2022;16;2023;28;NO APLICA;6;1025693;0,00;1,00;ACTIVO;1;22;13;PAGO POR UNIDADES COMERCIALES ADICIONALES DEL SECTOR FINANCIERO;NO;N;;;;;;;;;;;;;;;;;;;;;;
